PJME_MW,hour,dayofweek,quarter,month,year,dayofyear,weekofmonth,weekofyear
35691.0,18,3,1,2,2012,33,2,5
24758.0,3,5,4,11,2017,329,25,47
26996.0,4,4,3,8,2008,221,8,32
39119.0,10,1,3,7,2010,208,27,30
36757.0,12,3,1,1,2009,8,8,2
30438.0,19,4,2,4,2010,106,16,15
30836.0,18,6,1,1,2016,10,10,1
32806.0,23,1,2,6,2004,181,29,27
48046.0,17,1,3,8,2010,215,3,31
37082.0,22,3,2,6,2005,174,23,25
20701.0,2,6,4,10,2014,292,19,42
31602.0,19,4,2,5,2013,130,10,19
38502.0,21,3,1,1,2011,20,20,3
30879.0,5,0,1,1,2008,28,28,5
33405.0,17,6,1,2,2008,41,10,6
22965.0,7,6,3,8,2013,230,18,33
20208.0,4,4,3,9,2003,262,19,38
29673.0,21,6,4,10,2013,300,27,43
28438.0,1,0,1,3,2010,60,1,9
35432.0,21,0,3,8,2013,217,5,32
35279.0,19,4,1,3,2004,79,19,12
27974.0,9,5,2,6,2005,169,18,24
36308.0,8,3,4,12,2014,352,18,51
24806.0,4,0,1,2,2008,49,18,8
34339.0,16,3,2,5,2008,150,29,22
23400.0,2,6,3,7,2016,185,3,26
36007.0,9,1,4,12,2007,345,11,50
23311.0,1,2,2,5,2014,141,21,21
31119.0,10,3,2,5,2004,127,6,19
31421.0,2,4,1,1,2018,26,26,4
34322.0,18,1,4,11,2010,313,9,45
28160.0,22,4,2,4,2012,97,6,14
23089.0,6,0,3,9,2004,264,20,39
26261.0,3,5,1,2,2003,53,22,8
32222.0,13,2,2,6,2012,158,6,23
28548.0,3,3,3,7,2014,191,10,28
23737.0,0,4,4,10,2017,293,20,42
35326.0,8,0,3,7,2008,189,7,28
21799.0,3,3,2,6,2003,156,5,23
30808.0,19,4,2,5,2006,132,12,19
27658.0,8,1,3,9,2017,255,12,37
34730.0,19,3,3,8,2006,243,31,35
24721.0,19,5,1,3,2016,86,26,12
28500.0,16,5,1,3,2009,73,14,11
29132.0,14,6,1,2,2005,37,6,5
36114.0,14,5,3,8,2009,220,8,32
25534.0,3,6,4,11,2006,309,5,44
31589.0,14,3,4,11,2003,324,20,47
28422.0,4,4,3,7,2018,208,27,30
38050.0,16,4,3,9,2011,245,2,35
31033.0,11,5,3,7,2009,185,4,27
30345.0,14,2,4,11,2011,313,9,45
30557.0,3,2,1,2,2018,38,7,6
24695.0,6,4,2,4,2004,100,9,15
32851.0,9,1,4,11,2007,310,6,45
24300.0,3,1,2,4,2018,107,17,16
35007.0,16,0,4,10,2007,295,22,43
28627.0,11,6,2,6,2013,160,9,23
21290.0,3,2,4,10,2002,282,9,41
32304.0,3,5,3,9,2016,254,10,36
30908.0,20,5,3,7,2009,185,4,27
39776.0,15,5,3,7,2005,183,2,26
22742.0,5,0,2,6,2014,167,16,25
43542.0,20,6,3,7,2010,185,4,26
21591.0,3,3,4,10,2017,278,5,40
35441.0,10,1,1,3,2008,78,18,12
25474.0,0,2,2,5,2006,144,24,21
33658.0,17,4,1,2,2010,50,19,7
37244.0,14,3,3,8,2007,235,23,34
25747.0,0,0,1,2,2016,53,22,8
28044.0,23,1,2,4,2012,108,17,16
24058.0,4,2,4,12,2004,336,1,49
24598.0,0,5,2,4,2016,121,30,17
30574.0,16,4,4,10,2006,286,13,41
29786.0,16,3,2,4,2011,104,14,15
34370.0,11,1,3,9,2009,265,22,39
23116.0,8,5,2,5,2015,136,16,20
23013.0,1,6,2,5,2013,132,12,19
26046.0,14,6,2,4,2006,120,30,17
27958.0,1,3,1,2,2009,50,19,8
45296.0,15,3,3,7,2004,183,1,27
33942.0,12,3,4,11,2014,324,20,47
29556.0,10,5,4,10,2003,298,25,43
30359.0,21,4,2,6,2017,153,2,22
33520.0,22,4,1,3,2014,73,14,11
32687.0,1,6,3,8,2006,218,6,31
31031.0,10,3,2,5,2003,121,1,18
33633.0,10,2,4,12,2013,359,25,52
32311.0,22,0,3,9,2014,251,8,37
35419.0,21,2,1,2,2002,37,6,6
31528.0,19,1,4,11,2016,313,8,45
33393.0,7,2,2,6,2010,174,23,25
44212.0,11,1,3,7,2007,212,31,31
34327.0,12,0,4,12,2009,348,14,51
29385.0,1,3,1,2,2007,53,22,8
35134.0,16,6,3,9,2007,266,23,38
22233.0,3,1,4,10,2005,291,18,42
34272.0,0,1,1,2,2007,51,20,8
34157.0,19,0,1,3,2006,72,13,11
33578.0,7,1,1,3,2015,69,10,11
34521.0,15,5,2,5,2009,143,23,21
36423.0,16,2,1,2,2013,51,20,8
35039.0,11,0,2,5,2012,149,28,22
22297.0,2,0,2,5,2007,127,7,19
30539.0,8,4,2,6,2012,153,1,22
39234.0,20,1,2,6,2014,154,3,23
33902.0,9,0,2,6,2014,181,30,27
38568.0,9,1,4,12,2010,341,7,49
39928.0,9,0,3,7,2016,200,18,29
31981.0,15,3,2,5,2005,146,26,21
33058.0,10,1,1,3,2010,75,16,11
30588.0,17,3,4,10,2011,279,6,40
30540.0,9,2,4,10,2016,293,19,42
37522.0,19,4,3,8,2015,240,28,35
26943.0,22,5,2,4,2015,101,11,15
26458.0,13,6,4,10,2003,292,19,42
23175.0,5,4,4,10,2010,295,22,42
32866.0,15,3,4,12,2016,343,8,49
36448.0,16,1,4,12,2002,344,10,50
38987.0,0,4,2,6,2006,174,23,25
29602.0,6,6,4,12,2016,346,11,49
30720.0,14,6,1,3,2014,89,30,13
31985.0,16,0,4,11,2007,309,5,45
44720.0,20,3,3,7,2011,209,28,30
31770.0,4,2,1,1,2016,13,13,2
36565.0,14,3,4,12,2009,351,17,51
33032.0,17,4,4,10,2004,282,8,41
30190.0,7,1,4,11,2009,307,3,45
33166.0,15,1,1,3,2006,66,7,10
21919.0,4,1,4,10,2010,292,19,42
45495.0,21,2,3,8,2016,244,31,35
33282.0,6,3,2,6,2002,178,27,26
31218.0,8,4,3,7,2002,207,26,30
22915.0,6,0,2,4,2016,109,18,16
29632.0,13,5,2,6,2003,172,21,25
26234.0,1,6,4,11,2003,334,30,48
38473.0,22,0,1,1,2015,5,5,2
31791.0,9,6,4,12,2014,355,21,51
32535.0,0,1,1,2,2006,45,14,7
26411.0,6,1,1,1,2007,16,16,3
28493.0,16,5,4,12,2006,364,30,52
40410.0,22,3,3,7,2003,198,17,29
45292.0,22,1,3,7,2007,212,31,31
32406.0,21,2,2,4,2012,102,11,15
32787.0,10,5,2,6,2002,152,1,22
31250.0,15,3,4,11,2004,323,18,47
27213.0,9,6,4,11,2002,328,24,47
33235.0,23,4,4,12,2013,361,27,52
40735.0,16,1,1,1,2004,27,27,5
45394.0,20,4,2,5,2013,151,31,22
43465.0,20,1,3,8,2007,240,28,35
34471.0,11,5,1,2,2009,52,21,8
33126.0,19,4,1,3,2013,81,22,12
28983.0,14,6,1,1,2007,14,14,2
29820.0,18,5,4,10,2008,299,25,43
30576.0,21,2,4,11,2015,315,11,46
29189.0,12,6,4,11,2008,321,16,46
31573.0,16,0,3,9,2006,247,4,36
34119.0,12,6,2,5,2012,148,27,21
34565.0,21,0,4,10,2007,302,29,44
24198.0,6,1,2,5,2018,142,22,21
28097.0,21,6,2,5,2005,128,8,18
30375.0,0,3,1,2,2002,59,28,9
30997.0,22,4,1,2,2018,54,23,8
27442.0,2,2,1,2,2004,42,11,7
32392.0,1,2,4,11,2014,323,19,47
42232.0,9,0,3,7,2011,206,25,30
22400.0,2,1,4,10,2003,294,21,43
39635.0,19,3,3,8,2014,219,7,32
38588.0,19,4,3,8,2005,238,26,34
42134.0,22,6,3,7,2011,191,10,27
26602.0,1,3,4,12,2011,335,1,48
32184.0,16,0,1,1,2002,14,14,3
25627.0,5,2,1,3,2009,70,11,11
31208.0,10,6,1,3,2005,65,6,9
33960.0,7,0,1,2,2003,34,3,6
36065.0,15,1,1,2,2011,39,8,6
30386.0,4,6,4,12,2010,353,19,50
26188.0,15,5,4,10,2013,299,26,43
29754.0,14,3,2,5,2014,149,29,22
25229.0,6,2,4,11,2006,305,1,44
51304.0,16,2,3,7,2002,198,17,29
32299.0,9,3,4,11,2010,308,4,44
22291.0,1,0,2,4,2002,112,22,17
28420.0,2,0,1,3,2014,83,24,13
31504.0,18,3,1,3,2018,81,22,12
30738.0,16,2,2,4,2010,118,28,17
28897.0,0,6,2,6,2009,172,21,25
34018.0,20,1,3,9,2007,261,18,38
38010.0,12,2,3,7,2009,196,15,29
21675.0,4,4,2,5,2010,134,14,19
36213.0,22,0,1,1,2017,30,30,5
53554.0,16,1,3,7,2008,204,22,30
45235.0,12,0,3,7,2010,186,5,27
28925.0,15,6,4,12,2014,341,7,49
33978.0,16,3,1,3,2007,60,1,9
48633.0,14,4,3,8,2010,232,20,33
37710.0,16,4,4,12,2010,344,10,49
27216.0,13,6,2,6,2004,158,6,23
28388.0,6,2,2,4,2011,96,6,14
20044.0,5,6,2,5,2004,130,9,19
30832.0,14,0,4,10,2011,290,17,42
25221.0,1,5,4,10,2009,283,10,41
27800.0,1,2,1,3,2012,67,7,10
34208.0,11,2,1,2,2013,58,27,9
35547.0,17,2,4,12,2014,365,31,1
37055.0,18,6,3,9,2017,260,17,37
42082.0,12,3,3,8,2013,234,22,34
27700.0,0,5,4,11,2002,306,2,44
37137.0,20,4,2,5,2012,146,25,21
30876.0,8,1,2,4,2009,111,21,17
21140.0,7,6,2,5,2005,128,8,18
29381.0,3,5,1,1,2006,7,7,1
26575.0,5,3,4,12,2004,337,2,49
23355.0,2,3,2,4,2016,105,14,15
27647.0,4,4,4,12,2008,361,26,52
28204.0,11,2,4,10,2017,291,18,42
20795.0,3,5,2,4,2010,93,3,13
21600.0,4,0,4,11,2004,313,8,46
27296.0,0,4,2,5,2009,142,22,21
34234.0,11,6,4,12,2009,347,13,50
32849.0,22,4,2,5,2002,144,24,21
34686.0,19,6,2,5,2004,137,16,20
34227.0,12,4,2,6,2007,166,15,24
49153.0,14,2,2,6,2004,161,9,24
41399.0,15,2,3,7,2009,196,15,29
35010.0,10,2,1,2,2005,54,23,8
25278.0,3,4,3,7,2015,205,24,30
45315.0,14,2,2,6,2010,153,2,22
33753.0,20,1,4,10,2009,300,27,44
30880.0,20,2,2,4,2008,121,30,18
23483.0,4,3,4,11,2004,323,18,47
23605.0,3,0,4,11,2002,308,4,45
35910.0,11,1,3,7,2013,211,30,31
31640.0,18,0,1,2,2016,53,22,8
31243.0,18,3,1,3,2012,82,22,12
33325.0,6,2,1,1,2008,16,16,3
36698.0,8,4,4,12,2004,352,17,51
42883.0,16,2,3,7,2009,182,1,27
26975.0,3,6,3,7,2017,183,2,26
34127.0,13,3,2,6,2012,159,7,23
25304.0,23,6,2,4,2015,102,12,15
35725.0,19,6,3,7,2004,186,4,27
32623.0,1,3,1,1,2004,8,8,2
36603.0,9,2,1,1,2010,20,20,3
31714.0,8,2,4,11,2011,334,30,48
30643.0,21,0,2,5,2013,126,6,19
36067.0,0,5,3,7,2005,183,2,26
33893.0,15,4,2,5,2003,122,2,18
22340.0,3,3,2,5,2003,128,8,19
38157.0,16,6,3,7,2006,204,23,29
37165.0,0,4,3,7,2009,212,31,31
34987.0,23,1,1,2,2010,40,9,6
28727.0,23,0,4,10,2004,299,25,44
34816.0,20,5,3,9,2003,270,27,39
24317.0,15,6,4,11,2015,312,8,45
28046.0,5,5,2,6,2012,182,30,26
30709.0,20,1,1,3,2016,82,22,12
23764.0,1,3,4,10,2009,295,22,43
34121.0,11,3,1,3,2007,81,22,12
22073.0,3,4,2,6,2017,153,2,22
30446.0,15,2,1,1,2017,4,4,1
32681.0,17,0,2,4,2008,119,28,18
24202.0,6,5,4,10,2006,287,14,41
25689.0,7,4,2,5,2015,121,1,18
31175.0,23,1,4,11,2016,327,22,47
23203.0,3,1,4,12,2015,356,22,52
22548.0,4,0,3,9,2008,266,22,39
24791.0,3,5,1,1,2002,12,12,2
31917.0,1,2,1,3,2017,74,15,11
36930.0,23,1,3,8,2003,217,5,32
35177.0,21,4,1,2,2016,36,5,5
32425.0,16,3,4,11,2003,317,13,46
28200.0,23,0,2,5,2005,143,23,21
32523.0,8,1,2,6,2003,175,24,26
42758.0,18,0,3,8,2004,222,9,33
21684.0,3,3,2,5,2016,126,5,18
28182.0,9,6,2,6,2003,180,29,26
35746.0,13,1,1,2,2008,50,19,8
22683.0,3,4,2,4,2014,94,4,14
25395.0,5,2,4,12,2017,354,20,51
27590.0,16,6,4,10,2017,288,15,41
36863.0,20,2,2,5,2004,147,26,22
33053.0,11,1,4,10,2006,290,17,42
25956.0,1,5,4,11,2010,331,27,47
31544.0,12,5,2,4,2005,92,2,13
23981.0,0,1,2,4,2016,110,19,16
38614.0,12,3,1,1,2008,17,17,3
24625.0,10,6,4,10,2014,292,19,42
34067.0,11,4,4,12,2011,343,9,49
30298.0,22,0,2,5,2009,131,11,20
31436.0,16,6,2,4,2007,105,15,15
27789.0,1,5,3,8,2009,220,8,32
29089.0,13,0,2,5,2004,152,31,23
40339.0,20,3,1,2,2003,58,27,9
30008.0,9,2,1,3,2012,81,21,12
43461.0,9,1,1,1,2005,18,18,3
31774.0,1,1,1,1,2010,12,12,2
24363.0,5,3,2,4,2002,94,4,14
29545.0,20,2,2,4,2002,100,10,15
29490.0,21,4,2,5,2015,135,15,20
22433.0,3,6,2,6,2013,167,16,24
28322.0,0,0,4,12,2014,349,15,51
35611.0,17,4,3,9,2008,256,12,37
25903.0,13,6,2,4,2013,97,7,14
28470.0,7,0,1,3,2003,83,24,13
33494.0,15,3,1,3,2005,83,24,12
49062.0,16,2,3,7,2012,186,4,27
27070.0,2,2,3,9,2015,273,30,40
32241.0,22,2,3,8,2013,226,14,33
28960.0,1,2,2,6,2008,177,25,26
32916.0,13,3,4,12,2011,342,8,49
33183.0,21,2,4,11,2007,325,21,47
36908.0,17,0,2,4,2012,107,16,16
24684.0,3,3,2,6,2009,162,11,24
40545.0,15,0,3,8,2016,235,22,34
29129.0,6,6,3,7,2005,198,17,28
25362.0,1,4,4,10,2013,277,4,40
30827.0,16,4,4,10,2008,305,31,44
35947.0,18,1,4,11,2002,330,26,48
22262.0,2,5,2,6,2003,158,7,23
31523.0,12,3,2,5,2003,135,15,20
46465.0,15,5,2,6,2018,181,30,26
31221.0,19,2,4,11,2016,307,2,44
43372.0,10,4,3,9,2016,253,9,36
23327.0,4,0,4,10,2006,289,16,42
35129.0,13,1,4,11,2014,322,18,47
31698.0,11,0,2,4,2006,114,24,17
27926.0,10,5,4,10,2008,292,18,42
26462.0,23,6,2,4,2011,114,24,16
32063.0,0,6,1,1,2012,15,15,2
35687.0,17,1,1,2,2009,55,24,9
36713.0,9,4,1,1,2012,6,6,1
28753.0,2,2,3,8,2002,240,28,35
39155.0,8,4,1,1,2015,23,23,4
38760.0,9,4,1,3,2014,66,7,10
32722.0,20,2,4,10,2012,298,24,43
31228.0,2,0,1,1,2009,19,19,4
34796.0,12,4,3,8,2004,219,6,32
44109.0,19,3,3,7,2008,206,24,30
34961.0,1,1,3,8,2009,230,18,34
28569.0,8,6,3,7,2012,183,1,26
23052.0,5,0,4,10,2008,301,27,44
31254.0,14,2,4,10,2010,293,20,42
39594.0,21,4,3,7,2015,191,10,28
29174.0,7,3,4,10,2008,290,16,42
28464.0,4,2,1,2,2004,35,4,6
25637.0,8,5,3,9,2017,259,16,37
30207.0,10,5,1,3,2014,74,15,11
25976.0,4,6,1,2,2008,41,10,6
36641.0,11,6,2,6,2015,165,14,24
38385.0,22,2,1,1,2005,26,26,4
29400.0,11,5,2,6,2018,167,16,24
23429.0,6,6,3,8,2004,228,15,33
42135.0,19,0,1,1,2011,17,17,3
29286.0,12,3,4,12,2003,359,25,52
25120.0,5,3,4,11,2002,325,21,47
27498.0,5,4,1,3,2017,62,3,9
28957.0,6,3,2,6,2011,153,2,22
36419.0,22,0,3,8,2014,230,18,34
36784.0,14,5,3,8,2008,229,16,33
26486.0,1,2,4,12,2014,351,17,51
29708.0,7,1,3,7,2011,186,5,27
40006.0,14,4,3,7,2004,198,16,29
39581.0,19,0,1,1,2002,7,7,2
23435.0,5,6,3,8,2007,231,19,33
36277.0,12,5,1,2,2010,44,13,6
31870.0,14,1,2,5,2013,148,28,22
23075.0,1,2,2,4,2003,120,30,18
32259.0,17,3,2,6,2009,155,4,23
37753.0,0,5,3,7,2005,197,16,28
36831.0,17,3,3,9,2011,272,29,39
25503.0,6,2,4,11,2008,310,5,45
30920.0,16,0,1,3,2002,84,25,13
24013.0,9,6,1,3,2012,85,25,12
33259.0,14,4,4,12,2012,363,28,52
29731.0,16,3,1,3,2012,75,15,11
31486.0,16,0,4,10,2005,290,17,42
23469.0,1,5,2,5,2003,137,17,20
34051.0,8,1,2,6,2007,163,12,24
35043.0,11,2,1,2,2012,60,29,9
30811.0,7,0,1,3,2013,70,11,11
34491.0,13,3,1,3,2011,83,24,12
25874.0,0,3,4,11,2003,317,13,46
33677.0,17,2,1,3,2006,60,1,9
28401.0,14,5,2,5,2015,129,9,19
25257.0,15,5,2,4,2002,117,27,17
24371.0,8,5,3,9,2006,273,30,39
32465.0,9,4,2,4,2004,107,16,16
22334.0,4,1,2,5,2007,142,22,21
29432.0,17,4,2,4,2003,115,25,17
28321.0,0,3,4,12,2011,335,1,48
29709.0,20,5,4,11,2005,309,5,44
31194.0,7,3,3,8,2002,234,22,34
26813.0,0,0,3,8,2013,231,19,34
28984.0,7,1,2,4,2007,93,3,14
29832.0,5,4,4,12,2016,344,9,49
26405.0,4,1,1,3,2004,69,9,11
31267.0,16,4,2,5,2007,138,18,20
34528.0,11,0,3,9,2010,270,27,39
31780.0,17,5,1,2,2008,33,2,5
32065.0,20,2,3,9,2016,272,28,39
34194.0,19,4,4,11,2004,310,5,45
29932.0,4,3,1,2,2010,49,18,7
